genome	source	strains	expand	GTDB_capture	novo	contigs	genome_size	avg_len	N50_len	N90_len	GC	completeness	contamination	gene	5S	16S	23S	tRNA	quality	domain	phylum	class	order	family	genus	species
CH28	isolate	3	No	Yes	No	48	2752366	57340.96	162326	42269	36.9	100	0.16	2656	1	2	6	59	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae
CH3	isolate	2	Yes	Yes	No	164	5838345	35599.66	130140	24284	35.15	100	0.05	6142	4	0	0	91	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A thuringiensis
CH35	isolate	2	Yes	Yes	No	632	2918714	4618.22	9845	1885	32.57	99.47	0.52	3187	0	0	0	8	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus
CH37	isolate	1	Yes	Yes	No	354	4851612	13705.12	151110	34240	43.85	100	3.09	4513	1	4	2	88	high-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Vibrionaceae	g__Vibrio	s__Vibrio kanaloae
CH38	isolate	1	Yes	Yes	No	417	2198175	5271.4	11525	2450	40.43	96.85	3.15	2471	0	0	0	26	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus varani
CH39	isolate	1	Yes	Yes	No	33	4270214	129400.42	351578	75376	66.37	99.99	0.62	3898	0	0	0	43	medium-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Methyloversatilis	s__Methyloversatilis discipulorum_A
CH40	isolate	1	Yes	Yes	No	64	6256026	97750.41	235233	79008	60.05	100	0.02	5759	2	0	0	59	medium-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E paracarnis
CH42	isolate	1	Yes	Yes	No	110	3237327	29430.25	54875	15270	36.66	100	0.09	2742	1	0	2	42	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B sp002140175
CH7	isolate	1	No	Yes	No	309	2279066	7375.62	218969	48614	41.27	100	0.06	2366	3	8	4	52	high-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Pasteurellaceae	g__Actinobacillus_B	s__Actinobacillus_B aerogenes
CH8	isolate	36	Yes	Yes	No	1255	3743523	2982.89	80858	5516	45.82	99.99	2.21	4143	1	30	41	64	high-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella copri
G32	metagenome-assembly	3	Yes	No	Yes	52	1998580	38434.23	58810	18666	41.71	99.44	1.41	1924	0	0	1	35	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoclostridium_B	s__
G47	isolate	7	Yes	Yes	No	15	4017896	267859.72	1032778	292355	43.72	100	0.01	3995	6	5	4	78	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus subtilis
G59	isolate	2	Yes	Yes	No	378	4189163	11082.44	384481	185121	43.73	100	0	4350	12	2	13	85	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus halotolerans
G66	isolate	1	Yes	Yes	No	102	3381738	33154.29	92053	19982	51.91	98.8	0.73	3243	1	5	6	59	high-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Copromonas	s__Copromonas sp000435795
G88	isolate	1	Yes	Yes	No	236	3239239	13725.59	319867	80130	44.64	100	1.29	3236	4	2	4	66	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum
G90	isolate	1	Yes	Yes	No	496	3175808	6402.84	95064	14296	46.39	99.96	0.64	3351	4	2	4	61	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lacticaseibacillus	s__Lacticaseibacillus paracasei
G93	isolate	1	No	Yes	No	246	1779968	7235.64	287343	130956	37.48	99.99	0.41	1965	1	5	4	54	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Pediococcus	s__Pediococcus pentosaceus
H100	isolate	1	Yes	Yes	No	770	2081546	2703.31	111238	563	40.37	100	0.48	2588	0	2	8	50	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus anginosus_C
H106	isolate	1	Yes	Yes	No	61	1830419	30006.87	124727	24755	39.01	99.97	0.19	2005	1	2	6	47	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus thermophilus
H112	isolate	1	Yes	Yes	No	740	3109299	4201.76	302227	22897	47.25	99.93	2.81	3557	3	10	20	59	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lacticaseibacillus	s__Lacticaseibacillus rhamnosus
H124	isolate	1	Yes	Yes	No	1290	2567977	1990.68	315175	277	56.13	100	1.55	3110	1	3	10	59	high-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Winkia	s__Winkia sp002849225
H139	isolate	1	No	Yes	No	589	3783677	6423.9	165596	40610	31.98	100	3.81	4169	1	6	6	62	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Thomasclavelia	s__Thomasclavelia ramosa
H186	isolate	1	Yes	Yes	No	137	2816058	20555.17	145733	12278	31.86	100	4.65	2804	1	0	0	33	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus epidermidis
H19	isolate	2	Yes	Yes	No	19	3747019	197211.53	492425	120671	41.29	100	0	3835	5	2	2	69	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus altitudinis
H198	isolate	1	Yes	Yes	No	129	2049478	15887.43	199258	51421	57.59	99.99	0.66	1912	0	8	17	48	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__Pauljensenia turicensis
H2	isolate	1	Yes	Yes	No	239	2396711	10028.08	1657097	108441	43.4	100	0.06	2487	2	2	4	55	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sanguinis_H
H222	isolate	1	Yes	Yes	No	567	2073618	3657.17	201093	84662	60.32	99.85	0.55	2157	1	3	4	52	high-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium animalis
H31	isolate	2	Yes	Yes	No	503	3963300	7879.32	610166	188910	42.04	100	0.13	4377	6	2	12	78	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus safensis
H36	isolate	1	Yes	Yes	No	9203	7138889	775.71	348005	274	46.45	100	2.75	2598	6	28	32	84	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Oceanobacillus	s__Oceanobacillus kimchii
H52	isolate	2	Yes	Yes	No	567	2354892	4153.25	152908	37953	32.22	99.99	0.05	14123	3	8	8	62	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus hominis
H53	isolate	1	Yes	Yes	No	924	2443274	2644.24	658824	426	42.03	99.99	0.14	3019	2	5	8	52	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gordonii
H64	isolate	1	Yes	Yes	No	36	2172509	60347.47	137930	70383	41.86	100	0	2033	2	3	2	52	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus parasanguinis
H70	isolate	1	Yes	Yes	No	1982	2569392	1296.36	171225	274	41.65	100	0.24	3940	1	14	12	52	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus mutans
H98	isolate	1	Yes	Yes	No	913	3016322	3303.75	269499	26572	34.41	99.99	0.25	3528	0	10	10	63	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus xylosus
J1001	isolate	3	No	Yes	No	397	2774264	6988.07	109975	17459	38.17	100	0.3	2974	1	8	10	62	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B faecium
J1005	isolate	1	Yes	Yes	No	555	4848002	8735.14	423045	97508	50.5	100	0.81	4909	4	10	15	86	high-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia marmotae
J1034	isolate	1	Yes	No	Yes	718	4067547	5665.11	337056	61135	43.86	99.46	0.48	4599	17	3	15	88	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Sporosarcina	s__
J1040	isolate	1	Yes	No	Yes	24	3558534	148272.25	533961	112136	43.47	99.8	0.1	3526	7	2	10	67	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Sporosarcina	s__
J1044	isolate	1	Yes	Yes	No	757	3305204	4366.19	713635	202255	56.29	99.91	1.81	3815	5	17	17	70	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Bhargavaea	s__Bhargavaea lindanitolerans
J1045	isolate	1	Yes	No	Yes	736	4395002	5971.47	234412	53174	41.48	100	0	4806	12	6	6	85	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__DSM-1321	g__Peribacillus	s__
J1047	isolate	2	Yes	Yes	No	874	4961506	5676.78	395004	66627	38.26	100	0.37	5501	19	18	10	96	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Lysinibacillus	s__Lysinibacillus capsici
J1049	isolate	1	Yes	Yes	No	824	4836444	5869.47	662446	84567	37.85	100	0.49	5374	17	16	10	94	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Lysinibacillus	s__Lysinibacillus sp002340205
J1061	isolate	1	Yes	Yes	No	800	7145551	8931.94	390153	195973	72.18	99.83	2.39	6834	6	10	20	68	high-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces sp022347745
J1068	isolate	2	Yes	No	Yes	27	3656059	135409.59	304175	95320	28	100	4.11	3472	7	0	2	79	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__
J1071	isolate	1	Yes	Yes	No	1453	5950967	4095.64	122316	16997	37.57	100	1.44	6857	24	27	12	82	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Lysinibacillus	s__Lysinibacillus sp002973635
J1114	isolate	22	No	Yes	No	697	2317392	3324.81	1307069	103375	60.17	99.88	0.56	2335	0	2	4	47	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium thermophilum
J1119	isolate	17	Yes	Yes	No	473	2025136	4281.47	100418	8650	46.5	99.73	0.6	2238	1	6	16	92	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus sp012843675
J113	isolate	1	No	Yes	No	842	4566716	5423.65	347593	64691	46.19	100	1.7	5097	13	22	11	81	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus paralicheniformis
J1272	isolate	1	Yes	Yes	No	61	3619085	59329.26	328328	127469	54.08	100	0.53	3496	2	2	12	63	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Thermoactinomycetales	f__DSM-45169	g__Kroppenstedtia	s__Kroppenstedtia eburnea
J131	isolate	1	Yes	Yes	No	289	5011615	17341.23	430123	85171	51.92	100	0.13	4880	6	6	18	83	high-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter portucalensis
J1347	isolate	1	Yes	Yes	No	1524	4543022	2980.99	262937	1190	46.24	100	0.1	5646	10	7	21	88	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus amyloliquefaciens
J1364	isolate	1	Yes	Yes	No	633	6018803	9508.38	372725	60358	45.32	100	0.27	5797	6	44	63	115	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus polymyxa
J1365	isolate	1	Yes	Yes	No	979	5380305	5495.71	182058	36276	36.46	100	3.73	5923	13	8	9	86	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__DSM-18226	g__Niallia	s__Niallia circulans_A
J1369	isolate	1	Yes	Yes	No	1085	4532470	4177.39	669025	52721	38.3	100	0	5103	4	18	18	64	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Gracilibacillus	s__Gracilibacillus dipsosauri
J1385	isolate	1	Yes	Yes	No	903	5355842	5931.17	436385	103019	38.3	100	3.7	5977	6	8	4	70	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Oceanobacillus	s__Oceanobacillus sojae
J1391	isolate	2	Yes	Yes	No	236	2099794	8897.43	353217	61151	42.29	99.98	0.32	2201	1	2	4	57	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Pediococcus	s__Pediococcus acidilactici
J1394	isolate	1	Yes	Yes	No	291	5489900	18865.63	2961100	94104	57.66	100	0.71	5351	5	14	21	85	high-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella quasipneumoniae
J1395	isolate	1	No	Yes	No	347	5315846	15319.44	178839	38340	50.69	100	0.34	5218	5	11	26	84	high-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
J1406	isolate	1	No	Yes	No	472	3206747	6793.96	398707	45798	37.72	100	0.35	3511	3	2	10	63	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis
J146	isolate	1	Yes	Yes	No	198	4683871	23655.91	315526	70415	49.7	100	0.43	4533	5	2	8	86	high-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia albertii
J183	isolate	4	No	Yes	No	896	2561202	2858.48	31405	3096	41.57	99.99	1.08	3092	6	5	10	88	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus agilis
J244	isolate	1	Yes	Yes	No	41	4292384	104692.29	191781	51627	74.43	100	0.35	3861	1	0	0	52	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Cellulomonadaceae	g__Cellulosimicrobium	s__Cellulosimicrobium cinnabarinum
J252	isolate	4	Yes	No	Yes	622	4526195	7276.84	423483	92049	73.61	100	0	4679	2	8	2	50	high-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Cellulomonadaceae	g__Isoptericola	s__
J267	isolate	1	Yes	Yes	No	877	5069830	5780.88	637821	76509	53.46	100	0.45	5412	5	2	23	80	high-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter_A	s__Citrobacter_A amalonaticus
J276	isolate	3	Yes	Yes	No	1883	2387934	1268.15	27766	273	49.06	100	2.41	3680	1	15	16	72	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus sp945873395
J28	isolate	1	Yes	Yes	No	630	4945120	7849.4	785117	195615	42.79	99.9	0.62	5019	0	10	28	72	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lacrimispora	s__Lacrimispora aerotolerans
J312	isolate	1	No	No	No	376	2201921	5856.17	60576	11390	46.63	99.98	0.83	2256	0	3	12	62	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__
J343	isolate	1	No	Yes	No	316	2562356	8108.72	67971	15330	38.21	98.14	4.15	2764	0	4	2	45	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Faecalicoccus	s__Faecalicoccus sp900546545
J352	isolate	1	Yes	Yes	No	298	5205070	17466.68	675431	123537	57.67	100	0.23	5077	4	17	26	85	high-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella pneumoniae
J355	isolate	1	No	Yes	No	396	3440643	8688.49	320280	66592	40.58	100	0.53	3618	1	2	6	57	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_D	s__Enterococcus_D gallinarum
J373	isolate	1	Yes	Yes	No	542	3679561	6788.86	125747	25237	28.77	99.99	1.69	3948	18	13	12	97	high-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Paraclostridium	s__Paraclostridium dentum
J381	isolate	1	No	Yes	No	477	2570559	5389.01	387992	125388	67.34	100	0.35	2538	1	8	2	49	high-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__Pauljensenia hyovaginalis
J383	isolate	1	Yes	Yes	No	495	3562747	7197.47	173744	47952	29.99	100	0.4	3729	8	2	20	58	high-quality	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A varium
J387	isolate	1	Yes	Yes	No	715	4431620	6198.07	129295	34513	28.82	99.99	1.03	4735	3	4	8	79	high-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_F	s__Clostridium_F sporogenes
J406	isolate	4	Yes	Yes	No	1264	2955398	2338.13	112387	319	39.31	100	0.31	3635	2	6	12	67	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B lactis
J410	isolate	1	Yes	Yes	No	926	4264042	4604.8	175716	31147	29.29	100	3.7	4813	5	10	13	87	high-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium tertium
J417	isolate	1	Yes	Yes	No	781	4696689	6013.69	426326	58393	37.17	100	0.24	5144	8	12	8	110	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__DSM-18226	g__Cytobacillus	s__Cytobacillus kochii
J427	isolate	3	Yes	Yes	No	794	6066154	7639.99	4192418	51169	37.93	100	0.78	6731	19	10	16	151	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Priestia	s__Priestia megaterium
J433	isolate	1	Yes	Yes	No	2141	7489205	3497.99	334780	14334	72.41	100	2.71	8096	3	5	28	75	high-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces diastaticus
J458	isolate	5	Yes	Yes	No	1017	3329712	3274.05	46491	6658	29.77	99.97	0.5	3701	1	7	33	94	high-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__Sarcina perfringens
J474	isolate	9	No	Yes	No	516	2398835	4648.91	596911	63742	60.06	99.95	0.15	2228	0	6	21	51	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium thermophilum
J520	isolate	2	No	Yes	No	201	2205061	10970.45	1688044	121684	37.96	100	0.3	2312	1	2	6	52	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gallolyticus
J548	isolate	1	Yes	Yes	No	769	3314905	4310.67	230716	27192	35.16	100	0.42	3706	2	4	6	105	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Haloplasmatales	f__Turicibacteraceae	g__Turicibacter	s__Turicibacter sanguinis
J885	isolate	2	No	Yes	No	39	5033721	129069.77	198231	61665	43.42	99.93	0.41	4165	1	2	2	63	high-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis
J900	isolate	2	No	Yes	No	575	3215133	5591.54	135969	41685	38.62	100	0.35	3463	1	10	12	64	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B durans
J941	isolate	1	Yes	No	Yes	2250	4460540	1982.46	1313793	328	32.86	100	3.1	5878	8	18	23	85	high-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__
J99	isolate	1	No	Yes	No	1122	2955516	2634.15	303830	423	55.85	100	0.85	3310	3	6	16	49	high-quality	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila
K10	isolate	1	Yes	Yes	No	866	2473324	2856.03	330409	988	45.21	100	0.83	2831	1	7	14	56	high-quality	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella_A	s__Veillonella_A magna
K21	isolate	1	Yes	Yes	No	1592	2410058	1513.86	1921	678	37.06	83.68	4.4	3604	3	2	2	71	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A cereus
K237	isolate	1	Yes	Yes	No	37	5548008	149946.16	559927	126987	59.19	100	2.79	5369	1	0	0	48	medium-quality	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Agrobacterium	s__Agrobacterium pusense
K260	isolate	4	Yes	Yes	No	28	3910008	139643.14	703710	100582	46.54	100	0.01	3818	8	2	4	81	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus velezensis
K27	isolate	1	Yes	Yes	No	448	2497253	5574.23	136186	27431	64.64	99.98	1.14	2385	1	4	2	50	high-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__Pauljensenia sp900556405
K273	isolate	1	No	Yes	No	18	1926780	107043.34	259802	75232	40.95	99.97	0.1	1913	1	2	2	58	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus animalis
