BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000054	BGC0000054	"Aeromicrobium erythreum putative transcriptional repressor and putative dehydrogenase/reductase genes, complete cds; erythromycin biosynthesis gene cluster, complete sequence; putative oxidoreductase and LipN genes, complete cds; monoamine oxidase gene, partial cds; and unknown gene"	T1PKS	PKSI	Aeromicrobium erythreum	"Bacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium"
BGC0000055	BGC0000055	Saccharopolyspora erythraea NRRL2338 complete genome	T1PKS	PKSI	Saccharopolyspora erythraea NRRL 2338	"Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora"
BGC0000056	BGC0000056	"Actinomadura verrucosospora strain ATCC 39334 esperamicin enediyne iterative type I polyketide synthase gene locus, partial sequence"	T1PKS	PKSI	Actinomadura verrucosospora	"Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura"
BGC0000057	BGC0000057	"Aspergillus nidulans FGSC A4 chromosome II ANcontig1.135, whole genome shotgun sequence"	T1PKS	PKSI	Aspergillus nidulans FGSC A4	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Nidulantes"
BGC0000058	BGC0000058	"Streptomyces graminofaciens DNA, FD-891 producer gene cluster"	T1PKS	PKSI	Streptomyces graminofaciens	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000059	BGC0000059	"Streptomyces avermitilis MA-4680 = NBRC 14893 DNA, complete genome"	T1PKS	PKSI	Streptomyces avermitilis MA-4680 = NBRC 14893	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000060	BGC0000060	"Streptomyces pulveraceus strain ATCC 31906 fostriecin biosynthetic gene cluster, complete sequence"	T1PKS	PKSI	Streptomyces pulveraceus	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000062	BGC0000062	"Gibberella moniliformis fumonisin biosynthetic gene cluster, complete sequence"	T1PKS	PKSI	[Gibberella] fujikuroi var. moniliformis	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex"
BGC0000063	BGC0000063	"Fusarium oxysporum strain FRC O-1890 fumonisin biosynthetic gene cluster, complete sequence"	T1PKS	PKSI	Fusarium oxysporum	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum species complex"
BGC0000064	BGC0000064	"Gibberella fujikuroi FUSS (fusA) gene, complete cds"	NRPS.T1PKS	PKS-NRP_Hybrids	Fusarium verticillioides	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex"
BGC0000065	BGC0000065	"Streptomyces galbus strain KCCM 41354 transcriptional regulator, dehydrogenase, oxidoreductase, hydrolase, DNA binding protein, and O-methyltransferase genes, complete cds; methoxymalonyl-ACP biosynthesis gene locus, complete sequence; monooxygenase, beta-ketoacyl synthases, acyltransferase, oxidoreductase, transcriptional regulator, dehydratase, transport protein, dehydratase, transcriptional regulators, lipoprotein, peptidase, fatty acid desaturase, and oxidoreductase genes, complete cds; and unknown genes"	PKS-like	PKSother	Streptomyces galbus	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000066	BGC0000066	"Streptomyces hygroscopicus strain NRRL 3602 geldanamycin biosynthesis gene cluster, partial sequence"	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces hygroscopicus	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group"
BGC0000067	BGC0000067	"Streptomyces hygroscopicus subsp. duamyceticus strain JCM4427 geldanamycin biosynthesis gene cluster, partial sequence"	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces hygroscopicus subsp. duamyceticus	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group"
BGC0000068	BGC0000068	"Streptomyces hygroscopicus strain 17997 geldanamycin biosynthesis gene cluster, partial sequence"	T1PKS	PKSI	Streptomyces hygroscopicus	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group"
BGC0000069	BGC0000069	"Cystobacter violaceus strain Cb vi76 gephyronic acid biosynthetic gene cluster, complete sequence"	T1PKS	PKSI	Archangium violaceum Cb vi76	"Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Archangium"
BGC0000070	BGC0000070	"Penicillium aethiopicum strain IBT 5753 griseofulvin biosynthetic gene cluster, complete sequence; and unknown genes"	T1PKS	PKSI	Penicillium aethiopicum	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium"
BGC0000072	BGC0000072	"Pyxidicoccus fallax strain DSM 28991 gulmirecin biosynthesis gene cluster, complete sequence"	T1PKS	PKSI	Pyxidicoccus fallax	"Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Myxococcaceae,Pyxidicoccus"
BGC0000073	BGC0000073	"Streptomyces halstedii halstoctacosanolide biosynthetic gene cluster (hlsA, hlsB, hlsC, hlsD, hlsE, hlsF, hlsG, hlsH, hlsI), complete cds"	T1PKS	PKSI	Streptomyces halstedii	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000074	BGC0000074	"Streptomyces hygroscopicus strain AM 3672 herbimycin polyketide biosynthetic gene cluster, complete sequence"	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces hygroscopicus	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group"
BGC0000075	BGC0000075	"Streptomyces sp. LZ35 hygrocin biosynthetic gene cluster, complete sequence"	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces sp. LZ35	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000076	BGC0000076	"Hypomyces subiculosus strain DSM11931 hypothemycin gene cluster, partial sequence"	T1PKS	PKSI	Hypomyces subiculosus	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Hypocreaceae,Hypomyces"
BGC0000077	BGC0000077	"Hypomyces subiculosus strain DSM11932 hypothemycin gene cluster, complete sequence; and oxidoreductase gene, complete cds"	T1PKS	PKSI	Hypomyces subiculosus	"Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Hypocreaceae,Hypomyces"
BGC0000078	BGC0000078	"Streptomyces sp. ML694-90F3 DNA, incednine biosynthetic gene cluster"	oligosaccharide.T1PKS	Others	Streptomyces sp. ML694-90F3	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000079	BGC0000079	"Streptomyces antibioticus strain NRRL8167 indanomycin biosynthetic gene cluster, complete sequence"	T1PKS	PKSI	Streptomyces antibioticus	"Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces"
BGC0000080	BGC0000080	"Polyangium cellulosum strain So ce307 conserved hypothetical protein gene, partial cds; and jerangolid gene cluster, partial sequence"	T1PKS	PKSI	Sorangium cellulosum	"Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium"
BGC0000081	BGC0000081	"Streptoalloteichus sp. ATCC 53650 kedarcidin biosynthetic gene cluster, complete sequence"	NRPS.T1PKS.arylpolyene.NRPS-like	Others	Streptoalloteichus sp. ATCC 53650	"Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Streptoalloteichus,unclassified Streptoalloteichus"
