genomospecies	GCF	BGC	GCC	Accession_ID	Description	Product_Prediction	BiGSCAPE_class	Organism	Taxonomy	length	genome	source	domain	phylum	class	order	family	genus	species
BL1	GCF02536	BL1_NODE_5.region001	GCC09887	NODE_5	NODE_5	phosphonate	Others	NA	NA	41605	BL1	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus migulanus
BL1	GCF02537	BL1_NODE_6.region001	GCC09784	NODE_6	NODE_6	RiPP-like	RiPPs	NA	NA	10855	BL1	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus migulanus
BL1	GCF02538	BL1_NODE_7.region001	GCC02921	NODE_7	NODE_7	T3PKS	PKSother	NA	NA	41059	BL1	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus migulanus
BL1	GCF02539	BL1_NODE_9.region001	GCC05051	NODE_9	NODE_9	ranthipeptide	RiPPs	NA	NA	21461	BL1	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus migulanus
BL4	GCF02544	BL4_NODE_3.region001	GCC05663	NODE_3	NODE_3	NRPS	NRPS	NA	NA	65408	BL4	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus siamensis
BL4	GCF02554	BL4_NODE_1.region003	GCC12614	NODE_1	NODE_1	betalactone.NRPS.transAT-PKS	Others	NA	NA	137419	BL4	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus siamensis
BL4	GCF02556	BL4_NODE_1.region004	GCC03192	NODE_1	NODE_1	terpene	Terpene	NA	NA	21884	BL4	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus siamensis
BL4	GCF02557	BL4_NODE_1.region005	GCC07854	NODE_1	NODE_1	T3PKS	PKSother	NA	NA	41101	BL4	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus siamensis
BL4	GCF02558	BL4_NODE_1.region001	GCC03056	NODE_1	NODE_1	terpene	Terpene	NA	NA	16890	BL4	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus siamensis
BL4	GCF02559	BL4_NODE_1.region002	GCC09781	NODE_1	NODE_1	T3PKS.NRPS.transAT-PKS	PKS-NRP_Hybrids	NA	NA	100539	BL4	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus siamensis
BL4	GCF02872	BL4_NODE_1.region006	GCC05429	NODE_1	NODE_1	transAT-PKS	PKSother	NA	NA	93771	BL4	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus siamensis
BL4	GCF03065	BL4_NODE_6.region001	GCC04467	NODE_6	NODE_6	PKS-like	PKSother	NA	NA	41245	BL4	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus siamensis
BL4	GCF03069	BL4_NODE_4.region001	GCC03069	NODE_4	NODE_4	NRPS.RiPP-like	Others	NA	NA	51786	BL4	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus siamensis
CH13	GCF02580	CH13_NODE_15.region001	GCC15674	NODE_15	NODE_15	resorcinol	Others	NA	NA	33059	CH13	isolate	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides uniformis
CH13	GCF03225	CH13_NODE_1.region001	GCC03225	NODE_1	NODE_1	RRE-containing	RiPPs	NA	NA	20354	CH13	isolate	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides uniformis
CH17	GCF02592	CH17_NODE_10.region001	GCC02895	NODE_10	NODE_10	T3PKS	PKSother	NA	NA	41191	CH17	isolate	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Arthrobacter_B	s__Arthrobacter_B sp001307035
CH17	GCF02593	CH17_NODE_6.region001	GCC14905	NODE_6	NODE_6	betalactone	Others	NA	NA	26763	CH17	isolate	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Arthrobacter_B	s__Arthrobacter_B sp001307035
CH17	GCF12267	CH17_NODE_1.region001	GCC03258	NODE_1	NODE_1	terpene	Terpene	NA	NA	20921	CH17	isolate	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Arthrobacter_B	s__Arthrobacter_B sp001307035
CH18	GCF02594	CH18_NODE_108.region001	GCC04093	NODE_108	NODE_108	cyclic-lactone-autoinducer	RiPPs	NA	NA	12882	CH18	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Metasolibacillus	s__
CH18	GCF02595	CH18_NODE_22.region001	GCC08400	NODE_22	NODE_22	T3PKS	PKSother	NA	NA	41083	CH18	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Metasolibacillus	s__
CH18	GCF02596	CH18_NODE_28.region001	GCC17123	NODE_28	NODE_28	siderophore	Others	NA	NA	13553	CH18	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Metasolibacillus	s__
CH18	GCF05392	CH18_NODE_5.region001	GCC14639	NODE_5	NODE_5	lanthipeptide-class-iv	RiPPs	NA	NA	22700	CH18	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Metasolibacillus	s__
CH18	GCF05393	CH18_NODE_32.region001	GCC12270	NODE_32	NODE_32	terpene	Terpene	NA	NA	20819	CH18	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Metasolibacillus	s__
CH19	GCF02599	CH19_NODE_1.region001	GCC03617	NODE_1	NODE_1	RRE-containing	RiPPs	NA	NA	20294	CH19	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Solibacillus	s__Solibacillus silvestris
CH19	GCF02600	CH19_NODE_3.region001	GCC04078	NODE_3	NODE_3	terpene	Terpene	NA	NA	20822	CH19	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Solibacillus	s__Solibacillus silvestris
CH19	GCF02601	CH19_NODE_4.region001	GCC14751	NODE_4	NODE_4	NRPS-like	NRPS	NA	NA	42952	CH19	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Solibacillus	s__Solibacillus silvestris
CH19	GCF02602	CH19_NODE_7.region001	GCC07670	NODE_7	NODE_7	NRPS	NRPS	NA	NA	46939	CH19	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Solibacillus	s__Solibacillus silvestris
CH19	GCF08459	PN16RG.bin.182_k141_1334487.region001	GCC09193	k141_1334487	k141_1334487	NRPS-like	NRPS	NA	NA	5540	PN16RG.bin.182	metagenome-assembly	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Solibacillus	s__Solibacillus silvestris
CH19	GCF08460	CH19_NODE_9.region001	GCC08274	NODE_9	NODE_9	T3PKS	PKSother	NA	NA	41014	CH19	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Solibacillus	s__Solibacillus silvestris
CH2	GCF02604	CH2_NODE_1.region001	GCC03197	NODE_1	NODE_1	lanthipeptide-class-i	RiPPs	NA	NA	24219	CH2	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus capitis
CH2	GCF02605	H80_NODE_2.region004	GCC11900	NODE_2	NODE_2	lanthipeptide-class-v	RiPPs	NA	NA	41851	H80	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus capitis
CH2	GCF02608	CH21_NODE_51.region001	GCC03738	NODE_51	NODE_51	RiPP-like	RiPPs	NA	NA	10231	CH21	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus capitis
CH2	GCF02621	CH2_NODE_2.region002	GCC00013	NODE_2	NODE_2	T3PKS.terpene	Others	NA	NA	51393	CH2	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus capitis
CH2	GCF02622	CH21_NODE_29.region001	GCC14905	NODE_29	NODE_29	siderophore	Others	NA	NA	14980	CH21	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus capitis
CH2	GCF02623	CH21_NODE_4.region001	GCC10073	NODE_4	NODE_4	cyclic-lactone-autoinducer	RiPPs	NA	NA	20710	CH21	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus capitis
CH2	GCF02917	CH2_NODE_2.region001	GCC09029	NODE_2	NODE_2	NRPS.lanthipeptide-class-v	Others	NA	NA	80933	CH2	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus capitis
CH25	GCF02933	J4_NODE_14.region001	GCC02933	NODE_14	NODE_14	NRPS	NRPS	NA	NA	43882	J4	isolate	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
CH25	GCF03150	J4_NODE_10.region001	GCC07497	NODE_10	NODE_10	NRPS.T1PKS	PKS-NRP_Hybrids	NA	NA	55687	J4	isolate	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
CH25	GCF03151	PN3LG.bin.108_k141_994791.region001	GCC08940	k141_994791	k141_994791	arylpolyene	Others	NA	NA	43588	PN3LG.bin.108	metagenome-assembly	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
CH25	GCF03313	J4_NODE_31.region001	GCC10093	NODE_31	NODE_31	LAP	RiPPs	NA	NA	18196	J4	isolate	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
CH25	GCF09874	PN1LG.bin.51_k141_109416.region001	GCC12312	k141_109416	k141_109416	siderophore	Others	NA	NA	13541	PN1LG.bin.51	metagenome-assembly	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
CH25	GCF12734	PN3LG.bin.108_k141_1195336.region002	GCC16314	k141_1195336	k141_1195336	thiopeptide	RiPPs	NA	NA	26293	PN3LG.bin.108	metagenome-assembly	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
CH25	GCF12735	PN3LG.bin.108_k141_1195336.region003	GCC06839	k141_1195336	k141_1195336	arylpolyene.ladderane	Others	NA	NA	42559	PN3LG.bin.108	metagenome-assembly	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
CH25	GCF16314	CH31_NODE_15.region001	GCC16314	NODE_15	NODE_15	thiopeptide	RiPPs	NA	NA	26326	CH31	isolate	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
CH25	GCF17999	PN7RD.bin.100_k141_666777.region001	GCC02933	k141_666777	k141_666777	NRPS	NRPS	NA	NA	43882	PN7RD.bin.100	metagenome-assembly	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
CH28	GCF02615	CH28_NODE_6.region001	GCC06804	NODE_6	NODE_6	T3PKS	PKSother	NA	NA	41152	CH28	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae
CH28	GCF02617	CH28_NODE_7.region002	GCC02617	NODE_7	NODE_7	lanthipeptide-class-ii	RiPPs	NA	NA	22904	CH28	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae
CH28	GCF02626	CH32_NODE_16.region001	GCC15847	NODE_16	NODE_16	RiPP-like	RiPPs	NA	NA	9032	CH32	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae
CH28	GCF02631	CH28_NODE_7.region001	GCC02631	NODE_7	NODE_7	terpene	Terpene	NA	NA	20870	CH28	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae
CH28	GCF02681	CH28_NODE_22.region001	GCC03514	NODE_22	NODE_22	cyclic-lactone-autoinducer	RiPPs	NA	NA	16476	CH28	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae
CH28	GCF02682	CH28_NODE_4.region001	GCC12596	NODE_4	NODE_4	cyclic-lactone-autoinducer	RiPPs	NA	NA	20739	CH28	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae
CH28	GCF02804	CH32_NODE_5.region001	GCC11865	NODE_5	NODE_5	cyclic-lactone-autoinducer	RiPPs	NA	NA	16433	CH32	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B hirae
CH3	GCF00917	K11_NODE_5.region001	GCC05767	NODE_5	NODE_5	siderophore	Others	NA	NA	13708	K11	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A thuringiensis
CH3	GCF02654	K11_NODE_1.region004	GCC05470	NODE_1	NODE_1	NRPS	NRPS	NA	NA	64472	K11	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A thuringiensis
CH3	GCF02655	CH3_NODE_1.region002	GCC02790	NODE_1	NODE_1	NRPS	NRPS	NA	NA	47158	CH3	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A thuringiensis
CH3	GCF02656	CH3_NODE_64.region001	GCC04789	NODE_64	NODE_64	NRPS	NRPS	NA	NA	16118	CH3	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A thuringiensis
CH3	GCF02662	CH3_NODE_19.region001	GCC17066	NODE_19	NODE_19	RiPP-like	RiPPs	NA	NA	10321	CH3	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A thuringiensis
CH3	GCF02663	CH3_NODE_21.region001	GCC14309	NODE_21	NODE_21	lanthipeptide-class-ii	RiPPs	NA	NA	23549	CH3	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A thuringiensis
CH3	GCF02665	CH3_NODE_6.region001	GCC08232	NODE_6	NODE_6	RiPP-like	RiPPs	NA	NA	5755	CH3	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A thuringiensis
CH3	GCF03358	CH3_NODE_18.region001	GCC04827	NODE_18	NODE_18	NRPS-like	NRPS	NA	NA	43582	CH3	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A thuringiensis
CH3	GCF03359	CH3_NODE_12.region001	GCC15672	NODE_12	NODE_12	terpene	Terpene	NA	NA	21854	CH3	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A thuringiensis
CH3	GCF03410	CH3_NODE_14.region001	GCC13788	NODE_14	NODE_14	LAP.RiPP-like	RiPPs	NA	NA	23507	CH3	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A thuringiensis
CH3	GCF18297	CH3_NODE_15.region001	GCC05084	NODE_15	NODE_15	RiPP-like	RiPPs	NA	NA	10267	CH3	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A thuringiensis
CH3	GCF18300	K11_NODE_1.region003	GCC10232	NODE_1	NODE_1	betalactone	Others	NA	NA	25239	K11	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A thuringiensis
CH35	GCF00319	PN1JE.bin.14_k141_439224.region001	GCC00319	k141_439224	k141_439224	NRPS	NRPS	NA	NA	25298	PN1JE.bin.14	metagenome-assembly	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus
CH35	GCF00918	PN1JE.bin.14_k141_512461.region001	GCC09774	k141_512461	k141_512461	siderophore	Others	NA	NA	15857	PN1JE.bin.14	metagenome-assembly	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus
CH35	GCF02622	PN1JE.bin.14_k141_89611.region001	GCC14905	k141_89611	k141_89611	siderophore	Others	NA	NA	11003	PN1JE.bin.14	metagenome-assembly	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus
CH35	GCF02633	PN1JE.bin.14_k141_470316.region001	GCC02633	k141_470316	k141_470316	T3PKS	PKSother	NA	NA	17270	PN1JE.bin.14	metagenome-assembly	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus
CH35	GCF09745	CH35_NODE_16.region001	GCC02778	NODE_16	NODE_16	terpene	Terpene	NA	NA	18213	CH35	isolate	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus
CH37	GCF02477	CH37_NODE_52.region001	GCC10524	NODE_52	NODE_52	siderophore	Others	NA	NA	14476	CH37	isolate	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Vibrionaceae	g__Vibrio	s__Vibrio kanaloae
CH37	GCF02637	CH37_NODE_107.region001	GCC06114	NODE_107	NODE_107	arylpolyene	Others	NA	NA	43599	CH37	isolate	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Vibrionaceae	g__Vibrio	s__Vibrio kanaloae
CH37	GCF02640	CH37_NODE_62.region001	GCC12793	NODE_62	NODE_62	hglE-KS.PUFA	Others	NA	NA	55526	CH37	isolate	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Vibrionaceae	g__Vibrio	s__Vibrio kanaloae
