name	vOTU_rename	contig_len	provirus	checkv_quality	miuvig_quality	completeness	contamination	family	host	type	expand	AMG_count
PN10RA|k141_1175369_2	vOTU_00015	20795	No	Medium-quality	Genome-fragment	59.56	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN10RD|k141_1767848	vOTU_00016	18948	No	Medium-quality	Genome-fragment	50.29	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN10RK|k141_709690_1	vOTU_00017	24680	No	Medium-quality	Genome-fragment	68.04	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN10RM|k141_1268352_1	vOTU_00018	34636	No	High-quality	High-quality	90	0	Unclassified	Acutalibacteraceae	lysogenic	Yes	0
PN10RQ|k141_585589	vOTU_00019	20137	No	High-quality	High-quality	100	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN10RR|k141_466004_1	vOTU_00020	27929	No	Medium-quality	Genome-fragment	86.13	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN11RF|k141_1218386_fragment_1	vOTU_00021	24720	No	High-quality	High-quality	100	0	Unclassified	Acutalibacteraceae	lysogenic	Yes	0
PN11RG|k141_2473379	vOTU_00022	38647	No	Complete	High-quality	100	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN11RL|k141_1222646	vOTU_00023	62352	No	Complete	High-quality	100	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN11RN|k141_114130	vOTU_00024	32259	No	Medium-quality	Genome-fragment	72.7	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN12RG|k141_281039_1	vOTU_00025	18540	No	Medium-quality	Genome-fragment	53.87	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN13RH|k141_262430	vOTU_00026	51913	No	Medium-quality	Genome-fragment	84.34	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN13RH|k141_807088	vOTU_00027	19074	No	Medium-quality	Genome-fragment	57.38	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN13RI|k141_1151547_1	vOTU_00028	28182	No	Medium-quality	Genome-fragment	71.63	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN13RI|k141_142168	vOTU_00029	31001	No	Medium-quality	Genome-fragment	53.83	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN13RI|k141_813529	vOTU_00030	7361	No	Medium-quality	Genome-fragment	53.77	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN13RJ|k141_1681870	vOTU_00031	5845	No	High-quality	High-quality	100	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN13RP|k141_1450654	vOTU_00032	18820	No	Medium-quality	Genome-fragment	51.67	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN13RT|k141_1329956	vOTU_00033	43061	No	Medium-quality	Genome-fragment	67.79	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN14RK|k141_1630547	vOTU_00034	6047	No	Medium-quality	Genome-fragment	52.68	0	Podoviridae	Acutalibacteraceae	lytic	Yes	0
PN14RK|k141_1678624	vOTU_00035	22019	No	Medium-quality	Genome-fragment	52.09	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN14RK|k141_446307_1	vOTU_00036	35138	No	High-quality	High-quality	100	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN15RF|k141_830971	vOTU_00037	27745	No	Medium-quality	Genome-fragment	67.3	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN15RH|k141_1312876	vOTU_00038	26323	No	Medium-quality	Genome-fragment	58.73	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN15RH|k141_15107	vOTU_00039	62616	No	Complete	High-quality	100	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN15RH|k141_332129	vOTU_00040	11152	No	Medium-quality	Genome-fragment	56.24	0	Salasmaviridae	Acutalibacteraceae	lytic	Yes	0
PN15RN|k141_869994	vOTU_00041	23782	No	Medium-quality	Genome-fragment	51.6	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN16RA|k141_1183524	vOTU_00042	22716	No	Medium-quality	Genome-fragment	54.6	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN16RB|k141_2018603	vOTU_00043	20171	No	Complete	High-quality	100	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN16RE|k141_1099280	vOTU_00044	30752	No	Medium-quality	Genome-fragment	65.94	0	Unclassified	Acutalibacteraceae	lysogenic	Yes	0
PN16RE|k141_1434448	vOTU_00045	23404	No	Medium-quality	Genome-fragment	59.56	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN16RE|k141_435577	vOTU_00046	21206	No	Medium-quality	Genome-fragment	50.12	0	Unclassified	Acutalibacteraceae	lysogenic	Yes	0
PN16RO|k141_2082298	vOTU_00047	19183	No	Medium-quality	Genome-fragment	61.59	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN1CA|k141_1020662_1	vOTU_00048	23824	No	Medium-quality	Genome-fragment	66.07	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN1CG|k141_971890	vOTU_00049	15960	No	Medium-quality	Genome-fragment	67.64	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN1CK|k141_927018	vOTU_00050	19153	No	Medium-quality	Genome-fragment	51.17	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN1LG|k141_849870	vOTU_00051	22551	No	Complete	High-quality	100	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN1RA|k141_3315754_1	vOTU_00052	29108	No	Medium-quality	Genome-fragment	89.22	0	Siphoviridae	Acutalibacteraceae	lysogenic	Yes	0
PN1RC|k141_1646528	vOTU_00053	18942	No	Medium-quality	Genome-fragment	51.85	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN1RC|k141_682895	vOTU_00054	8678	No	Medium-quality	Genome-fragment	75.62	0	Podoviridae	Acutalibacteraceae	lytic	Yes	0
PN1RH|k141_247204	vOTU_00055	34434	No	High-quality	High-quality	98.31	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN1RI|k141_572889	vOTU_00056	47922	No	Medium-quality	Genome-fragment	78.83	0	Unclassified	Acutalibacteraceae	lysogenic	Yes	0
PN1RK|k141_894	vOTU_00057	78668	No	Complete	High-quality	100	0	Siphoviridae	Acutalibacteraceae	lysogenic	Yes	0
PN1RL|k141_2208871	vOTU_00058	44378	No	Medium-quality	Genome-fragment	67.63	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN1RL|k141_53501	vOTU_00059	16234	No	Medium-quality	Genome-fragment	86.96	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN2CA|k141_689972	vOTU_00060	20398	No	Medium-quality	Genome-fragment	54.31	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN2CD|k141_1948188	vOTU_00061	24821	No	Complete	High-quality	100	0	Unclassified	Acutalibacteraceae	lysogenic	Yes	0
PN2CD|k141_830430	vOTU_00062	22286	No	High-quality	High-quality	96.89	0	Unclassified	Acutalibacteraceae	lysogenic	Yes	0
PN3CG|k141_281846	vOTU_00063	23040	No	Medium-quality	Genome-fragment	63.71	0	Siphoviridae	Acutalibacteraceae	lysogenic	Yes	0
PN3LA|k141_1621849	vOTU_00064	12842	No	High-quality	High-quality	93.78	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN3LA|k141_1658160	vOTU_00065	12188	No	Medium-quality	Genome-fragment	89.12	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN3LC|k141_1991233	vOTU_00066	7551	No	Medium-quality	Genome-fragment	58.08	0	Podoviridae	Acutalibacteraceae	lytic	Yes	0
PN3RB|k141_1048515	vOTU_00067	5038	No	High-quality	High-quality	100	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN3RD|k141_1348641_1	vOTU_00068	25017	No	Medium-quality	Genome-fragment	64.9	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN3RF|k141_3188183	vOTU_00069	30739	No	Medium-quality	Genome-fragment	74.34	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN4RA|k141_770334	vOTU_00070	15977	No	Medium-quality	Genome-fragment	69.49	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN5CE|k141_120016_1	vOTU_00071	26301	No	Medium-quality	Genome-fragment	73.74	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN5CG|k141_548009_1	vOTU_00072	41783	No	High-quality	High-quality	100	0	Siphoviridae	Acutalibacteraceae	lysogenic	Yes	0
PN5JD|k141_554931	vOTU_00073	33449	No	Complete	High-quality	100	0	Unclassified	Acutalibacteraceae	lysogenic	Yes	0
PN5LF|k141_707076_1	vOTU_00074	46914	No	High-quality	High-quality	100	0	Unclassified	Acutalibacteraceae	lysogenic	Yes	0
PN5RB|k141_306980_1	vOTU_00075	6279	No	High-quality	High-quality	100	0	Unclassified	Acutalibacteraceae	lysogenic	Yes	0
PN5RC|k141_65240_1	vOTU_00076	17784	No	Medium-quality	Genome-fragment	54.98	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN5RH|k141_1122401	vOTU_00077	38184	No	High-quality	High-quality	100	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN6RC|k141_835029	vOTU_00078	11993	No	Medium-quality	Genome-fragment	76.16	0	Unclassified	Acutalibacteraceae	lysogenic	Yes	0
PN6RF|k141_223832_1	vOTU_00079	33437	No	High-quality	High-quality	93.92	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN6RF|k141_588874_1	vOTU_00080	36452	No	Medium-quality	Genome-fragment	79.82	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN6RH|k141_1315682_1	vOTU_00081	35563	No	Medium-quality	Genome-fragment	85.17	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN7RF|k141_1119113	vOTU_00082	19096	No	Medium-quality	Genome-fragment	57.18	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN7RF|k141_1955909	vOTU_00083	130241	No	Complete	High-quality	100	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN7RI|k141_381559	vOTU_00084	37528	No	Complete	High-quality	100	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN7RJ|k141_652740	vOTU_00085	41784	No	Medium-quality	Genome-fragment	66.93	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN7RL|k141_1356879	vOTU_00086	31623	No	Medium-quality	Genome-fragment	65.36	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	0
PN8RC|k141_600673	vOTU_00087	14590	No	High-quality	High-quality	100	0	Unclassified	Acutalibacteraceae	lysogenic	Yes	0
PN8RF|k141_696839	vOTU_00088	7678	No	Medium-quality	Genome-fragment	50.87	0	Unclassified	Acutalibacteraceae	lysogenic	Yes	0
PN8RP|k141_1085851	vOTU_00089	29368	No	Medium-quality	Genome-fragment	80.96	0	Unclassified	Acutalibacteraceae	lytic	Yes	0
PN8RP|k141_35808	vOTU_00090	10487	No	Medium-quality	Genome-fragment	66.64	0	Unclassified	Acutalibacteraceae	lysogenic	Yes	0
PN13RG|k141_1861037	vOTU_00091	36266	No	Medium-quality	Genome-fragment	60.11	0	Siphoviridae	Acutalibacteraceae	lytic	No	0
PN13RN|k141_1334619	vOTU_00092	59914	No	Complete	High-quality	100	0	Unclassified	Acutalibacteraceae	lytic	No	0
PN1CJ|k141_905489	vOTU_00093	33539	No	Medium-quality	Genome-fragment	53.74	0	Siphoviridae	Acutalibacteraceae	lytic	No	0
PN7RL|k141_480681	vOTU_00094	33684	No	Medium-quality	Genome-fragment	70.35	0	Siphoviridae	Acutalibacteraceae	lytic	No	0
PN1RG|k141_932008	vOTU_00095	20172	No	Medium-quality	Genome-fragment	85.49	0	Unclassified	Acutalibacteraceae	lytic	No	0
PN6RS|k141_1117211	vOTU_00096	29548	No	Medium-quality	Genome-fragment	61.84	0	Myoviridae	Acutalibacteraceae	lytic	No	0
PN1CI|k141_264470	vOTU_00097	32589	No	Medium-quality	Genome-fragment	74.89	0	Unclassified	Acutalibacteraceae	lytic	No	0
PN12RH|k141_1014986	vOTU_00098	49557	No	Medium-quality	Genome-fragment	81.33	0	Siphoviridae	Acutalibacteraceae	lytic	No	0
PN1RE|k141_259500	vOTU_00099	31774	No	Medium-quality	Genome-fragment	58.23	0	Unclassified	Acutalibacteraceae	lytic	No	0
PN13RJ|k141_2254357	vOTU_00100	12884	No	Complete	High-quality	100	0	Unclassified	Acutalibacteraceae	lysogenic	No	0
PN16RM|k141_1222187	vOTU_00101	30744	No	Medium-quality	Genome-fragment	82.11	0	Unclassified	Acutalibacteraceae	lytic	No	0
PN11RI|k141_146492	vOTU_00102	20781	No	High-quality	High-quality	94.4	0	Unclassified	Acutalibacteraceae	lysogenic	No	0
PN7RE|k141_1451073	vOTU_00103	14528	No	Medium-quality	Genome-fragment	62.13	0	Unclassified	Acutalibacteraceae	lysogenic	No	0
PN5CC|k141_47342	vOTU_00104	5203	No	High-quality	High-quality	100	0	Unclassified	Acutalibacteraceae	lysogenic	No	0
PN7RG|k141_941046	vOTU_00105	15473	No	Medium-quality	Genome-fragment	75.85	0	Salasmaviridae	Acutalibacteraceae	lytic	No	0
PN16RV|k141_245083	vOTU_00106	22389	No	Medium-quality	Genome-fragment	53.59	0	Unclassified	Acutalibacteraceae	lytic	No	0
PN3RD|k141_425624	vOTU_00107	21710	No	Medium-quality	Genome-fragment	54.04	0	Unclassified	Acutalibacteraceae	lytic	No	0
PN5LA|k141_366307_1	vOTU_00108	38177	No	High-quality	High-quality	91.75	0	Unclassified	Acutalibacteraceae	lytic	No	0
PN8RH|k141_287644	vOTU_00109	21979	No	Medium-quality	Genome-fragment	54.46	0	Siphoviridae	Acutalibacteraceae	lytic	No	0
PN1RL|k141_659169	vOTU_00110	34689	No	Medium-quality	Genome-fragment	63.32	0	Unclassified	Acutalibacteraceae	lytic	No	0
PN2LG|k141_1041414	vOTU_00111	20674	No	Medium-quality	Genome-fragment	89.56	0	Unclassified	Acutalibacteraceae	lytic	No	0
PN5RG|k141_1004726_1	vOTU_00112	32671	No	High-quality	High-quality	100	0	Unclassified	Acutalibacteraceae	lytic	No	0
PN8RF|k141_1307399	vOTU_00113	119716	No	Complete	High-quality	100	0	Siphoviridae	Acutalibacteraceae	lysogenic	Yes	8
PN11RA|k141_1369902_1	vOTU_00114	57544	No	High-quality	High-quality	95.41	0	Myoviridae	Acutalibacteraceae	lytic	Yes	4
PN16RA|k141_1400200	vOTU_00115	20442	No	Medium-quality	Genome-fragment	52.71	0	Siphoviridae	Acutalibacteraceae	lysogenic	Yes	4
PN10RH|k141_1049070	vOTU_00116	41897	No	High-quality	High-quality	95.29	0	Siphoviridae	Acutalibacteraceae	lysogenic	Yes	3
PN1RH|k141_2414686	vOTU_00117	105137	No	Complete	High-quality	100	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	3
PN5RE|k141_1064440_1	vOTU_00118	65167	No	High-quality	High-quality	100	0	Myoviridae	Acutalibacteraceae	lysogenic	Yes	3
PN16RB|k141_665806	vOTU_00119	137567	No	Complete	High-quality	100	0	Myoviridae	Acutalibacteraceae	lytic	Yes	2
PN1RD|k141_2527221	vOTU_00120	111150	No	Medium-quality	Genome-fragment	66.62	0	Siphoviridae	Acutalibacteraceae	lysogenic	Yes	2
PN1RJ|k141_346620	vOTU_00121	68957	No	Medium-quality	Genome-fragment	74.57	0	Siphoviridae	Acutalibacteraceae	lysogenic	Yes	2
PN3CF|k141_1125739	vOTU_00122	115666	No	Complete	High-quality	100	0	Siphoviridae	Acutalibacteraceae	lysogenic	Yes	2
PN5LA|k141_70504	vOTU_00123	51986	No	High-quality	High-quality	95.18	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	2
PN6RJ|k141_301791	vOTU_00124	43568	No	Medium-quality	Genome-fragment	85.26	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	2
PN14RQ|k141_1509909	vOTU_00125	40305	No	Medium-quality	Genome-fragment	83.71	0	Siphoviridae	Acutalibacteraceae	lytic	No	2
PN4RB|k141_716617	vOTU_00126	137816	No	Complete	High-quality	100	0	Podoviridae_crAss-like	Acutalibacteraceae	lytic	No	2
PN7RA|k141_817405	vOTU_00127	52841	No	High-quality	High-quality	100	0	Siphoviridae	Acutalibacteraceae	lytic	No	2
PN16RQ|k141_1694886	vOTU_00128	62327	No	High-quality	High-quality	100	0	Myoviridae	Acutalibacteraceae	lytic	No	2
PN10RG|k141_1579470	vOTU_00129	18770	No	Medium-quality	Genome-fragment	53.94	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	1
PN12RA|k141_61631_1	vOTU_00130	41237	No	Medium-quality	Genome-fragment	87.98	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	1
PN12RC|k141_929470_1	vOTU_00131	38298	No	Medium-quality	Genome-fragment	69.88	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	1
PN13RL|k141_2332443	vOTU_00132	47484	No	Complete	High-quality	100	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	1
PN14RB|k141_312447	vOTU_00133	53475	No	Complete	High-quality	100	0	Unclassified	Acutalibacteraceae	lytic	Yes	1
PN15RI|k141_730393	vOTU_00134	27171	No	Medium-quality	Genome-fragment	84.64	0	Unclassified	Acutalibacteraceae	lytic	Yes	1
PN16RA|k141_654191	vOTU_00135	64023	No	Medium-quality	Genome-fragment	68.54	0	Unclassified	Acutalibacteraceae	lytic	Yes	1
PN1LK|k141_495194	vOTU_00136	43249	No	Medium-quality	Genome-fragment	83.31	0	Unclassified	Acutalibacteraceae	lytic	Yes	1
PN1RA|k141_2068615	vOTU_00137	47867	No	Complete	High-quality	100	0	Myoviridae	Acutalibacteraceae	lysogenic	Yes	1
PN1RL|k141_2011656	vOTU_00138	40495	No	Complete	High-quality	100	0	Siphoviridae	Acutalibacteraceae	lysogenic	Yes	1
PN1RL|k141_2037188	vOTU_00139	72462	No	High-quality	High-quality	94.03	0	Unclassified	Acutalibacteraceae	lytic	Yes	1
PN3CD|k141_551667	vOTU_00140	314641	No	Complete	High-quality	100	0	Myoviridae	Acutalibacteraceae	lytic	Yes	1
PN3DG|k141_247309	vOTU_00141	66316	No	High-quality	High-quality	100	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	1
PN3RD|k141_2098054	vOTU_00142	33510	No	Medium-quality	Genome-fragment	86.52	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	1
PN5CE|k141_43426	vOTU_00143	28688	No	Medium-quality	Genome-fragment	56.92	0	Unclassified	Acutalibacteraceae	lytic	Yes	1
PN5RG|k141_45935	vOTU_00144	49858	No	Medium-quality	Genome-fragment	67.93	0	Unclassified	Acutalibacteraceae	lytic	Yes	1
PN6RM|k141_1677319	vOTU_00145	43933	No	Medium-quality	Genome-fragment	75.88	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	1
PN7RJ|k141_1445865_1	vOTU_00146	24793	No	Medium-quality	Genome-fragment	50.37	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	1
PN7RK|k141_648152	vOTU_00147	24781	No	Medium-quality	Genome-fragment	51.47	0	Siphoviridae	Acutalibacteraceae	lytic	Yes	1
PN9RI|k141_1126676_1	vOTU_00148	67459	No	High-quality	High-quality	100	0	Myoviridae	Acutalibacteraceae	lytic	Yes	1
PN13RM|k141_1559175	vOTU_00149	33911	No	Medium-quality	Genome-fragment	65.78	0	Unclassified	Acutalibacteraceae	lytic	No	1
PN15RF|k141_956139	vOTU_00150	55911	No	High-quality	High-quality	91.01	0	Siphoviridae	Acutalibacteraceae	lytic	No	1
PN16RC|k141_1609816_1	vOTU_00151	45444	No	High-quality	High-quality	92.08	0	Siphoviridae	Acutalibacteraceae	lytic	No	1
PN3RG|k141_1326090	vOTU_00152	39510	No	Medium-quality	Genome-fragment	74.34	0	Siphoviridae	Acutalibacteraceae	lytic	No	1
PN1RL|k141_1737384_1	vOTU_00153	29980	No	Medium-quality	Genome-fragment	85.44	0	Siphoviridae	Acutalibacteraceae	lytic	No	1
PN15RA|k141_132227	vOTU_00154	31384	No	High-quality	High-quality	100	0	Siphoviridae	Acutalibacteraceae	lytic	No	1
J77|NODE_6_1	vOTU_00155	26805	No	Medium-quality	Genome-fragment	77.48	0	Siphoviridae	Aerococcaceae	lysogenic	Yes	0
K319|NODE_5_1	vOTU_00156	39267	No	High-quality	High-quality	95.56	0	Siphoviridae	Aerococcaceae	lysogenic	Yes	0
PN1RC|k141_624899	vOTU_00157	81787	No	High-quality	High-quality	100	0	Siphoviridae	Aerococcaceae	lytic	Yes	0
PN2GD|k141_196561	vOTU_00158	89513	No	Medium-quality	Genome-fragment	67.29	0	Herelleviridae	Aerococcaceae	lytic	Yes	0
PN7RT|k141_1872202_1	vOTU_00159	5219	No	High-quality	High-quality	100	0	Unclassified	Aerococcaceae	lysogenic	No	0
PN3DD|k141_118164	vOTU_00160	35076	No	Medium-quality	Genome-fragment	52.56	0	Siphoviridae	Aerococcaceae	lytic	Yes	1
PN13RR|k141_1323883	vOTU_00161	7068	No	High-quality	High-quality	100	0	Unclassified	Aerococcaceae	lysogenic	No	1
PN7RM|k141_1189755	vOTU_00162	64549	No	High-quality	High-quality	100	0	Siphoviridae	Aerococcaceae	lytic	No	1
PN16RK|k141_848462	vOTU_00163	13529	No	Complete	High-quality	100	0	Unclassified	Akkermansiaceae	lysogenic	Yes	0
PN16RO|k141_711265	vOTU_00164	13111	No	Complete	High-quality	100	0	Unclassified	Akkermansiaceae	lysogenic	Yes	0
PN1LK|k141_364574	vOTU_00165	35231	No	Medium-quality	Genome-fragment	60.96	0	Unclassified	Akkermansiaceae	lytic	Yes	0
PN1RC|k141_2847667	vOTU_00166	50022	No	Medium-quality	Genome-fragment	53.02	0	Unclassified	Akkermansiaceae	lysogenic	Yes	0
PN1RK|k141_1975523	vOTU_00167	17425	No	Medium-quality	Genome-fragment	54.93	0	Unclassified	Akkermansiaceae	lytic	Yes	0
PN2CF|k141_1727916	vOTU_00168	18278	No	Medium-quality	Genome-fragment	55.3	0	Unclassified	Akkermansiaceae	lysogenic	Yes	0
PN2LD|k141_799902	vOTU_00169	26341	No	Medium-quality	Genome-fragment	82.32	0	Unclassified	Akkermansiaceae	lytic	Yes	0
PN2RF|k141_760349	vOTU_00170	22869	No	Medium-quality	Genome-fragment	71.63	0	Unclassified	Akkermansiaceae	lytic	Yes	0
PN3LA|k141_1296075	vOTU_00171	25681	No	Medium-quality	Genome-fragment	81.03	0	Unclassified	Akkermansiaceae	lysogenic	Yes	0
PN6RK|k141_1118573	vOTU_00172	22596	No	Medium-quality	Genome-fragment	55.28	0	Unclassified	Akkermansiaceae	lytic	Yes	0
PN6RT|k141_1705081	vOTU_00173	20862	No	Medium-quality	Genome-fragment	65.72	0	Unclassified	Akkermansiaceae	lysogenic	Yes	0
PN7RB|k141_264801	vOTU_00174	26006	No	Medium-quality	Genome-fragment	81.52	0	Unclassified	Akkermansiaceae	lytic	Yes	0
PN7RU|k141_1179233	vOTU_00175	28491	No	Medium-quality	Genome-fragment	89.31	0	Unclassified	Akkermansiaceae	lytic	Yes	0
PN8RO|k141_250682_1	vOTU_00176	42319	No	Medium-quality	Genome-fragment	64.95	0	Unclassified	Akkermansiaceae	lysogenic	Yes	0
PN3LA|k141_915547	vOTU_00177	33922	No	High-quality	High-quality	100	0	Unclassified	Akkermansiaceae	lysogenic	No	0
PN5RA|k141_242837	vOTU_00178	27339	No	Medium-quality	Genome-fragment	59.68	0	Myoviridae	Akkermansiaceae	lysogenic	No	0
PN6RM|k141_313247	vOTU_00179	41701	No	Medium-quality	Genome-fragment	66.66	0	Unclassified	Akkermansiaceae	lytic	Yes	1
PN7RN|k141_323106	vOTU_00180	47737	No	Complete	High-quality	100	0	Myoviridae	Akkermansiaceae	lytic	Yes	1
J1385|NODE_1_1	vOTU_00181	137626	No	Medium-quality	Genome-fragment	81.95	0	Siphoviridae	Amphibacillaceae	lysogenic	Yes	0
J1385|NODE_3_1	vOTU_00182	45797	No	High-quality	High-quality	100	0	Siphoviridae	Amphibacillaceae	lysogenic	Yes	0
PN16RV|k141_1036786	vOTU_00183	40165	No	Medium-quality	Genome-fragment	52.81	0	Unclassified	Anaerotignaceae	lysogenic	Yes	0
PN13RI|k141_1517676	vOTU_00184	58361	No	Complete	High-quality	100	0	Unclassified	Anaerotignaceae	lysogenic	No	0
PN7RO|k141_1314925	vOTU_00185	37979	No	Complete	High-quality	100	0	Unclassified	Anaerotignaceae	lysogenic	Yes	1
PN10RG|k141_2101557	vOTU_00186	10931	No	Medium-quality	Genome-fragment	81.28	0	Unclassified	Anaerovoracaceae	lysogenic	Yes	0
PN10RG|k141_2131870	vOTU_00187	33887	No	Complete	High-quality	100	0	Siphoviridae	Anaerovoracaceae	lytic	Yes	0
PN10RH|k141_2330311	vOTU_00188	33060	No	Complete	High-quality	100	0	Siphoviridae	Anaerovoracaceae	lytic	Yes	0
PN10RJ|k141_1564745_1	vOTU_00189	32134	No	Medium-quality	Genome-fragment	83.19	0	Unclassified	Anaerovoracaceae	lytic	Yes	0
PN10RN|k141_1434489_1	vOTU_00190	39480	No	High-quality	High-quality	100	0	Siphoviridae	Anaerovoracaceae	lysogenic	Yes	0
PN10RN|k141_7749_1	vOTU_00191	43100	No	High-quality	High-quality	99.37	0	Unclassified	Anaerovoracaceae	lysogenic	Yes	0
PN11RI|k141_2252232	vOTU_00192	5624	No	Complete	High-quality	100	0	Microviridae	Anaerovoracaceae	lytic	Yes	0
PN11RO|k141_813701	vOTU_00193	30446	No	Medium-quality	Genome-fragment	88.18	0	Siphoviridae	Anaerovoracaceae	lysogenic	Yes	0
